id,station_id,dist
BRM00082193,82193,340.74873863
BRM00082246,82246,710.23317898
BRM00082326,82326,470.35727112
BRM00082533,82533,917.62464775
BRM00082791,82791,469.01946335
BRM00082915,82915,880.87517935
BRM00083264,83264,0.0
BRM00083332,83332,323.84600183
BRM00083565,83565,314.49975126
BRM00083704,83704,418.0021628
BRM00083766,83766,546.71841252
BRM00083836,83836,451.80972188
BY000064390,64390,327.22967785
BY000064397,64397,716.15543402
CA001017101,71473,367.11407102
CA001017329,72799,756.17729871
CA001018610,71200,440.63747648
CA001018620,71799,243.13194491
CA001020270,71110,435.36016793
CA001021830,71893,366.38823666
CA001025370,71890,240.86821166
CA001026270,71109,436.0157811
CA001031110,71895,366.91051676
CA001031353,71111,435.0561121
CA001036206,71475,240.67823053
CA001037650,71105,786.02727576
CA001038205,71106,439.1429703
CA0010476F0,71207,437.31213227
CA001051350,71107,431.79771054
CA001054500,71899,44.71779082
CA001056869,71477,425.64292867
CA001057050,71101,218.85994317
CA001060902,71484,219.67341731
CA001061458,71482,430.76396642
CA001062745,71102,221.78799218
CA001063303,71476,367.56302308
CA001065010,71897,422.66621827
CA001066481,71898,167.07465683
CA001067742,71955,421.46000966
CA001068134,71951,424.15916834
CA001068250,74100,159.41460928
CA001077500,71950,424.16772646
CA001086556,71050,381.08373395
CA001091169,71952,579.9759548
CA001096439,72896,462.48272359
CA001096453,71896,467.68283642
CA001096601,71103,428.817121
CA001098940,71104,494.82836347
CA001100031,71108,537.30174541
CA001100119,71113,240.011682
CA001108380,72892,483.40786684
CA001113540,71114,438.26794612
CA001114741,71891,436.36375613
CA001126150,71889,366.034953
CA001126510,71886,437.71142125
CA001141455,71884,240.21314114
CA001152102,71880,268.00432267
CA001161661,71474,0.25463367
CA001163780,71887,0.5738644
CA001176745,71882,433.92305577
CA001176750,72882,351.19190933
CA001183000,71943,420.98042409
CA001183090,71941,367.55087753
CA001184790,71944,209.7765112
CA001192940,71945,388.7234094
CA002100182,71967,367.61722818
CA002100630,71505,409.33436794
CA002100636,71501,389.9021984
CA002100700,71965,438.45132734
CA002101099,71045,367.46596729
CA002101300,72964,409.45298362
CA002101303,71964,407.86006467
CA002200675,71948,731.90276312
